	sequences per sample	iteration	s934.8	w1116.2	s934.7	s1116.1 	s934.3	s1116.8	w1274.8	w1274.4	h1600.5	w1204.1	w1274.1	w1204.6	h1468.1	w1204.7	w1116.8	w1116.5	w1274.5	h1468.6	h1468.7	w1204.2	h1468.4	s800.6	s934.1	s934.5	s934.6	s1116.4	w1274.2	w1274.7	w1204.8	s1116.2	s1024.6	s1024.4	w1116.7	w1204.5	h1600.6	h1468.5	w1116.3	h1468.2	s800.3	s800.5	s1116.7	s934.2	s1024.2	w1116.1	s1024.8	s1116.3	s1116.5	s1024.5	s800.1	s800.8	s800.4	s934.4	s800.7	s800.2	s1024.1	h1600.7	h1600.1	h1600.2	w1204.3	h1600.4	h1468.3	w1274.6	w1116.6	h1468.8	w1116.4	s1116.6	s1024.7	w1204.4	s1024.3
alpha_rarefaction_229_3.biom	229	3	247.7142857	464.5416667	313	350.9130435	447	1022.625	328.6	263.3076923	467.7307692	331.0769231	354.2727273	349.4	324	396	382.2916667	524.8823529	309.2	318.1764706	467.5	335.0416667	539.5454545	456.8	609.8823529	863.3333333	471.1578947	432.0434783	545.5	531.5	363.6666667	294.1052632	366.3913043	489	541.0714286	557.3684211	394.375	680.1052632	235.7727273	416.5	269	299	256.84	473.1578947	424.2857143	271.4761905	452.0769231	288.6521739	570.875	324.1052632	281.3157895	250.75	527.5	284.1578947	419.5833333	257.9285714	260.3125	475.4	391	423.1304348	277.8125	253.5	358.3333333	376.1111111	182.1428571	310.6666667	286.6470588	373.7692308	214.1875	242	354.25
alpha_rarefaction_229_4.biom	229	4	361.25	651.6666667	405.0666667	363	492.4375	573.125	260.7142857	356.3529412	534.1052632	522	206.2857143	429.75	325.5	348.55	465.3157895	565.0555556	218.3684211	264.1666667	445.625	571.8333333	239.9166667	587.1764706	508.2727273	673.1428571	542.6666667	393.5652174	470.7307692	440.1052632	300.5	341.9	350.12	549.5	343.6190476	381.3913043	290	608.5555556	304.75	342.5263158	315.1	312.8947368	369.4	446.8666667	372.84	352.4	303	465.3529412	239.4	411	263.5882353	255.75	287	271	442	210.5	318	405.0625	304.75	661.4	251.1578947	352	371.1363636	504	272.75	343.1764706	457.6	459.6	270.5454545	209.4736842	223
alpha_rarefaction_229_5.biom	229	5	300.4736842	440.2307692	339.1428571	302.1052632	548.5625	385.4545455	310.7692308	344.6190476	499.7142857	310.5714286	304.0833333	450.0769231	412.4615385	511.7692308	427.55	525.2	379	253.5	310	431.0434783	489.25	632.1176471	957	686.8	446.8666667	531.2307692	460.0769231	462.5714286	252.5	254.7142857	408.5454545	582.1052632	444.3333333	642.375	293.3	626.7142857	351.3157895	529	148.75	388.2142857	427	379.0555556	349.4166667	251.05	587.6	417.8947368	459.6	242.5263158	346.1764706	203.5	262.9285714	397.5263158	474.4	292.7142857	270.0526316	364.6666667	323	609.2	245.9565217	402.2352941	345.125	305.0909091	179.55	525.5	325.9090909	323.6875	300.8823529	186.0526316	297
alpha_rarefaction_229_6.biom	229	6	320.4	513.3157895	305.8888889	465.3157895	484.1666667	608.2	277.4615385	296.5555556	1021.6	275.4	336.8666667	321.0555556	389	348.1428571	309	380.2916667	278.4375	323.3333333	526.2307692	363	269.15	380.0357143	532.15	536.5769231	375.55	509	627.7142857	429.8333333	482.5714286	311.125	424.3684211	440.84	416.5555556	373.3913043	392.375	1225.75	277.05	577	222	433	455.4	477.0526316	470.75	249.1428571	467.75	393	316.3333333	405.0714286	485.25	244.5714286	213.5454545	305.4736842	612.5	224.0666667	367.75	332.7142857	324.4736842	437.7142857	452.75	268.7916667	264.44	235.1363636	296.6153846	315.1764706	445.3	337.5	308.0833333	234.5833333	303.0454545
alpha_rarefaction_229_7.biom	229	7	428.9090909	627	447.8666667	286.9130435	526	898	201.6470588	398.5833333	463.4347826	333.875	319.2307692	371.3125	263.3	253.9565217	468	456.1818182	198.5263158	290.5555556	461	449.9545455	234.5384615	463.6190476	521.1428571	883.0588235	450.0588235	380.4761905	579.0588235	306.0434783	375.3125	353.1578947	605.2	574.8333333	453.0588235	344	291.4444444	763.4375	330.8333333	409.1052632	318.4615385	284.047619	349.4285714	279.6	335.7894737	317.5714286	344.4375	384.625	315.5	230.25	443	211.4761905	265.4761905	361.5555556	360.6666667	194.55	340.125	473.0555556	250	679	335.4	331.6818182	373.4761905	473.4285714	400.5	853.25	210.55	220.8947368	244.2307692	203.1304348	263.05
alpha_rarefaction_229_8.biom	229	8	351.2142857	492.5	308.0555556	423.8947368	478.0555556	490.3333333	448.875	364.8	420.375	311.5714286	483	353	525.2307692	437	427.55	357.037037	248.0588235	302.5882353	425.0625	535.3	344.5263158	572.8	422.4444444	443.2	551.2727273	427.55	587.5555556	422.1666667	359.5882353	463.2307692	501.125	596.5	349.5	375.8333333	366.6666667	647.1578947	324.8947368	361	404.3	296.3	375.6470588	412.1052632	445.25	217.55	455.1764706	518.4615385	367.4	346.3529412	283.2	267.5714286	231.75	392.1428571	434.2142857	539.2	322.0555556	277.037037	368	503.3913043	239.5454545	324.8	355.24	254.8666667	254	315.8	317	320.5	271.5	244.0588235	240.5263158
alpha_rarefaction_229_9.biom	229	9	246.0555556	657.3157895	296.4347826	545.0714286	350.4166667	396.9545455	168.5	511.7692308	548	465.4615385	356.2307692	351.3529412	491.6153846	309.84	642.6470588	580.25	250.9375	304.75	262.7916667	555.6875	228	451.7894737	565.4	511.84	378.4761905	292.1363636	642	516.2352941	560.0769231	265.7142857	381.9565217	640	399.2352941	455.7142857	439.2142857	725.1666667	322.3333333	636.4615385	226	427.3684211	310.3529412	381.3913043	473.5882353	254	327.25	377.9375	359.25	329	377.9375	180.8333333	389	334.75	410	229.5555556	319.4	369	624	595	340.4285714	283.5172414	432.0588235	245.5454545	461.1428571	326	266	327.8333333	267.3333333	234.1052632	238.5263158
alpha_rarefaction_448_0.biom	448	0	561.3703704	751.5714286	529.5384615	749.5454545	696.5625	677.9	599	494.0333333	604.3571429	525.1578947	392.12	454.12	582	604	570.2222222	729.1176471	338.24	404.2	405.0882353	688.6363636	393.4375	823.5769231	1083.777778	616.3818182	740.0769231	842.3333333	764.5	555.9375	431	419.3225806	635.7941176	730.027027	698.037037	815.8888889	512	912.7906977	458.8888889	689	325.6896552	353.1290323	531.9655172	470	749.0344828	481.1818182	462.09375	431.6363636	451.3225806	511.5	496	478.8846154	571.6521739	653.5769231	614.8571429	358.125	607.25	527.6176471	451.44	698.0857143	467.9545455	734.2173913	467.5714286	527	354.6190476	473.2857143	383.7	406.5652174	264.3448276	329.75	430.3448276
alpha_rarefaction_448_1.biom	448	1	433.0588235	658.7317073	494.875	514.0909091	509.2631579	748.4054054	421.0625	658.2307692	638.5609756	353.2758621	415.65	489.125	351.5833333	541.516129	620.275	668.6428571	461	553.2222222	528.7241379	644.59375	426.46875	657.2777778	911.2413793	814.8823529	759.1153846	745.5	697.0238095	519.0909091	463.8888889	356.0769231	647.275	708.15	555.972973	757.9032258	454.8888889	1198.103448	400.7	496.4545455	375.5882353	375.5357143	496.6	721.1071429	682.6363636	529.0454545	649.04	583.1666667	493.75	520.5384615	740.3333333	379	333.8947368	555.44	573.5	323.625	542.12	491.0277778	481.5	634.5609756	454.84	417.3333333	682.2758621	419.65	345.6071429	447.5	484.037037	299.0967742	350.7142857	445.1666667	497.6153846
alpha_rarefaction_448_2.biom	448	2	417.2142857	628.6666667	381.5714286	574.5384615	630.0285714	707.6666667	464.25	597.0454545	773	444.3684211	438.2857143	351.21875	620.6	425.9411765	937	652	537.3157895	429.8857143	544.34375	646.5	486.12	539.3658537	849	793.1176471	775.1034483	517.6666667	605.3529412	586.15625	515.5517241	436.1875	989.25	691.6956522	601.7857143	671.4516129	502.71875	858.6097561	316.5	681.5454545	351.3	513.3870968	502	435.3235294	732.9333333	316.0833333	463.7857143	425.775	488.037037	513.5517241	837.6666667	449.3	435.6666667	630.3846154	425.3235294	301.2173913	427.3333333	559.5	395.4285714	842.2758621	451.03125	461.0967742	509.0277778	543.5625	391.7727273	412.3225806	429.64	360.8965517	289.7777778	360.125	450.7
