	sequences per sample	iteration	s934.8	w1116.2	s934.7	s1116.1	s934.3	s1116.8	w1274.8	w1274.4	h1600.5	w1204.1	w1274.1	w1204.6	h1468.1	w1204.7	w1116.8	w1116.5	w1274.5	h1468.6	h1468.7	w1204.2	h1468.4	s800.6	s934.1	s934.5	s934.6	s1116.4	w1274.2	w1274.7	w1204.8	s1116.2	s1024.6	s1024.4	w1116.7	w1204.5	h1600.6	h1468.5	w1116.3	h1468.2	s800.3	s800.5	s1116.7	s934.2	s1024.2	w1116.1	s1024.8	s1116.3	s1116.5	s1024.5	s800.1	s800.8	s800.4	s934.4	s800.7	s800.2	s1024.1	h1600.7	h1600.1	h1600.2	w1204.3	h1600.4	h1468.3	w1274.6	w1116.6	h1468.8	w1116.4	s1116.6	s1024.7	w1204.4	s1024.3
alpha_rarefaction_229_0.biom	229	0	12.547	17.96981	16.40248	17.28807	15.11899	16.70239	14.98799	15.14847	20.07096	12.34952	12.08042	14.56889	16.6069	16.14973	20.90881	16.71557	12.57424	14.18639	16.33969	17.13437	14.7377	18.15159	20.59217	23.53003	16.85784	17.63907	23.01324	18.23172	14.81644	13.75037	19.43408	20.84988	16.38793	16.09745	14.03877	21.73396	13.52601	15.15885	12.38169	12.82256	14.63186	15.89398	16.94972	14.70121	16.32494	16.26434	12.84479	13.69654	13.18735	11.70342	13.13832	17.68829	13.84739	11.64662	15.29945	17.01433	16.90536	21.25019	12.75479	18.10841	17.73021	11.95744	11.97922	15.4912	12.52259	11.50668	12.55448	13.01157	15.1463
alpha_rarefaction_229_1.biom	229	1	12.9295	17.84709	16.773	15.30645	15.06384	16.80811	14.25767	15.0881	21.36002	15.57387	13.6117	14.91179	15.72134	15.9883	21.31862	16.31692	14.54804	14.59333	16.37035	16.06009	15.10212	18.89903	18.80959	23.51019	15.10729	14.57382	22.6797	19.06483	15.26088	14.60737	18.45237	20.36659	16.12987	17.80583	15.29087	24.62486	13.51197	15.97348	11.16467	12.74721	14.62452	15.02848	19.47682	14.3811	14.96523	13.95366	14.4561	14.13664	15.77888	12.80621	14.42227	16.26365	13.9484	10.21216	13.08606	15.45015	15.3608	18.3634	15.14183	13.79917	17.18404	12.87491	11.30733	13.55811	10.88882	13.28148	11.33256	12.01828	12.54747
alpha_rarefaction_229_2.biom	229	2	11.90744	18.19923	18.19182	16.86323	15.59931	17.56639	13.55459	13.03341	21.19364	13.95684	13.73662	13.97418	17.62702	16.51809	20.63099	17.37648	10.5728	14.37298	16.13276	16.05591	14.56373	18.91552	21.11316	21.65109	18.62017	17.28973	23.52078	17.11057	16.72227	17.56396	18.87757	18.18005	17.12719	18.00069	16.43025	22.03596	14.313	17.23279	12.37677	14.20765	14.81898	16.50865	15.89906	13.62536	14.7165	13.73618	11.59037	14.28523	15.72903	12.00532	14.68387	14.99274	13.86989	12.12794	14.77229	17.7392	15.34717	18.70973	12.68704	17.12857	15.77142	14.41315	12.88514	15.73642	13.69188	11.48736	12.39574	12.63884	13.07786
alpha_rarefaction_229_3.biom	229	3	12.96866	17.29551	18.24625	15.94327	14.87415	18.80286	13.07235	14.49167	20.85971	13.87204	13.06553	14.33946	16.14244	16.38637	17.72114	18.69588	13.16737	13.60992	16.13428	16.44907	14.42301	19.04087	20.83133	23.13163	15.98226	17.7777	21.87734	18.39696	15.28162	14.47304	17.68371	19.00095	15.99575	17.59533	15.39927	24.13991	12.42982	14.53673	12.8307	13.33673	14.56445	16.47995	17.09969	13.26815	15.45654	16.86191	13.49132	15.13545	13.12191	10.36392	14.99898	15.0984	14.36125	11.9442	13.9033	16.63385	14.82593	18.55565	12.09671	16.21928	18.3931	13.40755	10.82788	14.93347	13.70887	14.0868	11.04166	12.41923	14.95835
alpha_rarefaction_229_4.biom	229	4	13.12541	18.1644	15.74538	17.06757	15.1719	16.56954	13.75044	12.49131	21.15969	11.4122	14.24394	14.69941	16.63922	16.47147	17.85695	16.60647	13.57638	13.65779	14.95166	17.27705	14.6644	17.73778	19.96015	22.85428	16.52342	16.46411	22.91042	18.13265	15.70308	16.72465	18.42526	19.36291	16.00653	16.81777	15.67579	21.63729	13.6098	14.69986	11.86912	14.02167	15.52612	15.73969	17.78576	14.46332	17.44003	15.2312	12.75163	15.17768	14.37238	11.9985	13.83216	15.53578	14.41004	13.10044	12.58866	15.18874	15.7273	18.98419	12.55024	17.99022	17.6382	13.34945	12.9085	14.3827	13.87344	12.89658	11.85022	12.71225	13.41812
alpha_rarefaction_229_5.biom	229	5	13.96627	18.59649	15.36532	14.92895	17.46006	17.65035	13.29275	15.3967	19.73117	13.97073	13.01231	14.32791	15.35979	17.7936	19.1699	16.4064	12.16818	13.371	14.90571	16.71274	15.32761	18.32941	21.34413	21.94585	14.80225	16.54921	23.95396	17.79065	14.78184	12.91913	16.06074	19.35114	17.34991	16.98156	13.49016	23.75017	14.88999	14.17751	11.9419	14.01614	16.89831	15.32147	17.17857	12.57886	14.44619	16.89496	13.72127	13.50853	14.25422	10.64498	12.93134	16.1583	14.66084	11.55734	13.62942	14.78913	14.29663	19.42255	12.82626	16.2352	15.41639	11.77518	12.55774	13.39777	12.03048	13.46993	14.44045	10.78238	13.83264
alpha_rarefaction_229_6.biom	229	6	15.07191	16.30424	17.18031	17.06085	16.92823	16.74181	14.29428	13.82127	22.69961	13.15092	14.76288	15.37886	17.39539	16.57262	17.97816	19.14883	11.67918	14.42611	16.56763	17.86701	15.21816	19.51036	20.00925	23.694	17.65333	18.05596	25.06979	18.78071	15.70418	15.102	18.33293	20.45928	16.63931	17.44372	15.33175	23.06702	13.82911	15.3103	10.65998	15.75958	15.62869	16.2349	15.96975	15.19598	16.5082	14.17484	11.99401	14.63634	14.70128	11.81783	14.41527	15.01048	16.43657	11.22626	13.31835	16.08698	14.73045	20.93029	12.37201	16.54517	16.83805	14.58155	11.85851	13.58645	14.02033	11.67472	11.19631	10.74915	13.99681
alpha_rarefaction_229_7.biom	229	7	13.53233	18.18041	16.6671	15.47284	16.86542	16.65229	12.97008	13.84282	20.39808	12.95302	13.64433	13.2356	15.4419	13.75503	18.53991	19.44784	11.38068	15.75288	16.31159	19.81389	14.44021	19.15254	21.33937	24.73334	16.67578	17.04633	21.02104	17.69575	15.61716	15.86804	17.57486	20.16182	16.49383	16.2862	15.82999	21.99878	13.08171	14.50542	12.84978	13.3756	14.59239	16.04952	16.70217	12.59591	14.8988	14.56051	13.48241	13.76932	14.32089	12.54103	12.77296	15.58523	13.12408	11.179	13.80741	16.56752	14.5226	20.58412	13.03478	15.32626	16.55945	13.75873	13.28861	14.95076	11.85299	12.52226	11.82985	12.57112	13.7442
alpha_rarefaction_229_8.biom	229	8	12.10501	17.68201	15.26961	16.83643	15.6403	16.57698	14.72499	15.74015	19.52471	12.20108	13.64332	14.65547	15.83065	18.26147	19.3707	17.68962	13.65973	13.43455	15.41572	19.19353	16.94542	19.51358	21.40312	20.53774	15.0126	17.62373	24.31135	19.18293	15.76341	16.22393	15.05644	19.66719	15.31527	16.7097	15.6778	22.79504	14.52074	14.13576	12.70664	14.30546	14.28475	16.42461	16.17078	12.77936	17.6193	15.91448	13.63646	14.98106	13.38588	12.52986	13.58583	17.41106	14.14795	11.54403	12.97197	16.68296	16.50265	21.59964	11.65086	16.11638	16.35988	14.30559	10.8634	14.64797	11.80258	11.79483	12.2998	12.62317	13.0588
alpha_rarefaction_229_9.biom	229	9	13.20017	20.13468	18.00498	17.56075	16.63841	17.53608	12.11801	14.89103	19.41429	14.65481	12.60857	15.12282	17.17132	16.97946	19.81062	18.65936	13.91378	15.76307	15.5557	16.00216	12.58135	18.84068	21.97319	21.79392	15.72522	13.67453	25.688	19.8962	15.8883	14.70896	16.83951	20.31142	16.56668	16.25352	16.23579	21.9646	15.62313	16.59073	13.10189	14.55201	14.59845	16.657	17.31456	13.71678	15.55204	14.12052	14.51912	12.75557	13.68094	9.38559	15.27384	15.73742	13.24598	12.75367	14.4361	14.07614	17.14184	18.79834	11.0221	16.5745	16.73827	11.81358	12.80982	12.78867	11.86517	13.34599	12.26669	13.20367	14.24039
alpha_rarefaction_448_0.biom	448	0	19.78848	23.58037	22.15551	24.86433	25.17261	24.62834	18.57598	19.67524	29.77429	18.24433	16.50549	17.72182	21.04586	21.31489	28.80223	24.31292	17.04781	19.07079	19.64336	25.92837	20.89435	28.40113	29.59794	29.80544	23.06783	24.15341	33.41449	24.3926	19.37216	19.77779	26.3803	27.991	23.32854	23.2015	19.57121	33.96158	19.11279	23.15269	16.2151	19.22354	20.29396	21.42913	25.45173	18.1017	21.07983	20.04285	19.12131	20.61187	17.78779	18.57861	20.97154	23.05628	21.54169	16.8712	19.24845	24.1702	21.57232	26.75922	17.50763	23.73171	24.05386	20.4221	15.19856	18.60381	17.99349	17.58926	17.03654	17.40098	17.70408
alpha_rarefaction_448_1.biom	448	1	18.16961	24.68871	23.89609	23.18902	20.81238	25.34655	17.34639	22.79019	28.1406	16.82257	18.75948	21.49824	22.10141	20.58595	27.92685	24.70766	17.68693	19.0993	22.37173	24.46507	19.36334	26.88336	28.77785	32.06609	25.17944	25.76946	31.76099	26.74468	19.75573	19.81062	26.21089	28.02474	23.80862	24.65884	19.20305	32.94381	19.75384	21.68799	16.23061	18.65057	21.14831	23.08386	27.82767	18.73514	20.74641	19.26387	19.54621	21.32755	18.8394	16.02355	20.3859	22.24037	20.6885	16.48745	18.40533	22.85754	21.91975	28.21262	16.66141	23.31861	23.08603	16.34913	18.22508	20.03751	18.60732	15.93919	16.96721	17.47481	19.71999
alpha_rarefaction_448_2.biom	448	2	16.83069	24.65079	20.09694	24.42189	23.45461	23.91283	20.1877	21.0954	31.2222	18.16396	17.54163	19.20079	22.61703	19.3637	29.63334	23.45655	16.60655	19.66632	22.653	24.58414	21.57185	24.55073	30.46347	32.15836	23.78107	22.42864	32.53417	23.20119	19.72188	18.63286	27.48757	27.00628	23.8504	23.05318	20.8321	35.89604	17.85491	21.94439	17.03725	21.64332	21.22002	23.59311	25.83641	17.31899	20.02084	21.85256	19.31792	20.60155	20.17491	14.60329	18.65168	23.99634	20.63446	16.07648	19.28773	22.00009	20.95374	28.96304	18.22286	21.80121	23.09119	16.29675	16.11353	19.66812	16.64123	16.99361	17.07069	16.77155	18.12488
alpha_rarefaction_448_3.biom	448	3	18.22914	21.63666	22.35563	25.06843	19.44693	24.81778	16.95445	21.44297	29.83064	19.55528	19.63371	19.82931	22.29287	21.97137	28.72599	24.48052	16.32308	19.3764	18.80832	22.28695	20.41174	26.84304	28.53522	33.20802	22.91778	23.42751	34.11637	26.17107	21.5516	20.90254	26.21253	26.00579	21.28683	22.62799	18.76004	33.42607	18.12514	20.29131	15.84115	18.08164	24.51392	22.38416	24.07427	20.1608	20.96334	22.83509	18.42622	20.01617	19.33421	15.81774	18.48502	24.53166	18.13069	15.16878	17.3765	21.46071	20.20317	28.38326	17.17535	24.27715	22.19856	20.05577	14.99839	21.05446	18.0195	18.27109	14.91969	17.6992	17.28525
alpha_rarefaction_448_4.biom	448	4	17.90543	22.77278	22.5126	22.68855	22.40043	23.61095	19.27453	20.00608	29.31521	18.46599	17.35668	19.92103	21.8128	21.89551	27.72536	22.98854	16.3507	18.683	23.0563	23.98846	20.8418	27.59547	28.06273	30.36295	25.98021	24.25069	33.37556	26.03975	19.94073	21.07101	26.45278	26.32356	21.50486	22.86329	19.72726	34.54889	19.04692	20.78923	16.58079	21.31993	19.68305	21.03076	26.1443	20.25271	21.0722	23.3491	17.36403	19.21479	17.37133	15.2843	20.28817	24.64419	20.37133	16.24766	20.59305	23.65107	22.01844	24.12238	17.01513	23.66474	22.42089	18.86578	18.17884	19.7733	17.06053	19.74195	16.35782	15.63254	21.07065
alpha_rarefaction_448_5.biom	448	5	19.13131	24.98199	22.28104	22.71583	24.2365	23.11144	18.90416	21.34761	27.40868	17.45593	20.18023	20.05888	22.01581	23.59409	28.62545	23.58788	15.44073	19.37652	21.79556	24.11225	20.98912	26.08398	29.06869	32.11584	22.65187	23.84509	33.94318	24.71455	20.74937	21.39239	25.88938	27.74039	20.55158	23.44632	21.38037	32.11939	18.85151	20.26009	15.63181	19.5637	22.32445	22.16445	24.04735	19.42624	21.50971	21.42825	18.68589	20.22309	19.61988	16.19671	19.61366	21.55992	19.58135	16.88945	17.13493	21.45768	21.28169	27.71044	16.52004	20.72893	21.07164	18.30504	18.01554	20.50555	19.53193	18.3014	15.76294	15.60789	19.56152
alpha_rarefaction_448_6.biom	448	6	19.91069	27.45297	21.14751	22.72948	21.6463	24.03562	17.20687	22.01029	29.94053	18.93414	17.36985	19.32489	23.00362	21.84476	28.24825	24.52663	16.14932	18.97047	21.53832	23.09631	19.75907	28.15969	32.15005	32.45483	22.6567	23.49337	33.65845	26.95459	21.56209	22.15903	24.15566	27.4022	22.7695	24.11726	21.44119	33.23685	17.18067	22.88128	17.3589	19.71976	20.79275	22.30554	25.37901	19.10614	20.99838	23.09408	20.67988	20.5931	18.53047	16.28784	18.41996	22.88481	20.62558	14.80183	20.83316	22.04513	20.62035	29.4474	16.19078	20.98045	22.85977	18.75185	18.09209	19.24085	16.20797	16.12754	16.77821	17.88867	17.37575
alpha_rarefaction_448_7.biom	448	7	18.21599	26.49	21.3126	23.46092	20.99252	24.76994	17.66665	22.52432	30.00649	15.43288	17.06721	18.69996	23.51143	21.94444	28.27566	24.83833	16.8483	20.91419	20.80142	23.11071	22.37546	26.66571	28.88697	31.3599	21.89036	23.38656	33.07337	24.92222	20.44615	22.52968	23.59297	27.53562	23.30778	24.96768	19.21139	30.94513	18.98536	21.26327	16.03761	19.34727	20.86843	21.86131	25.85729	19.86933	19.50091	20.22386	18.04099	20.23096	19.22012	16.80463	17.83416	23.40976	19.36679	16.02144	19.83272	23.90823	21.06332	27.25581	16.57859	22.67385	23.65645	17.50287	17.67626	20.32982	19.27797	16.02988	15.94983	16.81919	20.77211
alpha_rarefaction_448_8.biom	448	8	17.1875	25.19114	22.63594	24.65459	22.87061	25.02079	17.72116	20.60453	31.151	17.85265	18.19159	21.18971	24.14783	22.43177	28.82001	21.73073	16.68033	19.22842	22.281	24.64163	18.85586	26.78497	30.75183	31.84565	23.29702	23.90214	32.53744	25.25549	22.14392	22.16006	26.15018	27.62477	22.77256	23.76488	18.92234	34.15524	17.07026	20.43404	16.14181	20.06678	20.15854	22.91768	24.07275	18.9139	22.07775	20.39605	19.61799	19.73005	18.47976	15.44913	17.18146	20.64755	19.45635	16.22367	19.83283	22.74689	21.72196	28.42688	17.23739	23.80466	22.08919	20.61057	15.33199	23.5312	18.86309	20.89577	17.53167	15.54591	23.18259
alpha_rarefaction_448_9.biom	448	9	16.65971	24.77964	21.96279	25.07342	23.45271	24.01072	18.29057	20.59233	30.24395	18.04982	19.49439	18.99575	23.05334	21.71155	28.07659	25.60548	14.77937	19.72786	21.72309	23.00736	20.8077	25.326	29.55717	30.98822	24.28094	24.71776	31.97001	26.65642	19.47588	21.30149	23.86476	26.08304	23.55596	23.52933	17.71652	31.75932	18.18764	21.14946	18.04242	20.20482	21.83576	23.37908	25.08374	18.96744	22.17913	19.54111	19.25346	20.97078	18.01058	16.70708	20.50564	23.18662	18.18556	15.38251	19.23428	23.17176	19.66903	26.69338	17.59144	21.66078	23.1762	18.01042	15.55206	21.18992	18.41815	15.37847	17.05735	16.05805	20.81724
alpha_rarefaction_667_0.biom	667	0	21.96227	31.12869	27.12598	27.66908	27.6551	31.24618	22.31562	25.68624	35.59776	21.33492	23.0516	23.95132	27.36691	27.03681	32.85788	27.46215	22.65186	23.81695	24.53594	28.07523	24.84639	32.77226	36.21468	38.55548	27.21915	30.0619	40.68752	30.77001	25.56517	24.66786	30.72913	32.59818	26.52744	29.33626	25.83937	41.90876	22.94066	25.14545	21.27148	25.08651	26.40963	26.25972	27.90499	24.85329	25.61699	23.44005	22.99472	28.08985	23.95827	20.57709	23.75676	28.00096	26.66715	19.26902	23.77578	27.87372	24.10076	33.5608	19.96387	30.17359	27.9075	21.75597	19.91002	26.61488	22.55178	22.78533	19.26161	19.20198	24.94393
alpha_rarefaction_667_1.biom	667	1	22.59053	30.39082	25.16592	25.86629	26.94668	31.15466	23.05109	25.0882	35.42813	22.32412	23.79554	23.33336	26.72854	26.55859	35.22875	29.0268	21.20004	22.69189	25.60691	28.99964	21.6898	33.29005	38.09033	38.21548	28.48156	29.00887	39.10975	32.49916	24.48842	26.35284	32.0267	35.61308	26.69092	27.17825	24.89427	39.06657	20.52842	25.47152	19.0405	24.3111	25.20992	28.85611	29.62834	23.30189	25.80292	27.15132	24.69111	22.97793	20.7918	19.86037	22.00378	28.73571	23.42433	19.48862	23.32579	28.52468	24.05807	33.70563	22.61306	27.23954	28.87404	23.53787	20.1771	24.58658	19.78632	23.1008	19.40262	20.49283	25.20304
