	sequences per sample	iteration	s934.8	w1116.2	s934.7	s1116.1	s934.3	s1116.8	w1274.8	w1274.4	h1600.5	w1204.1	w1274.1	w1204.6	h1468.1	w1204.7	w1116.8	w1116.5	w1274.5	h1468.6	h1468.7	w1204.2	h1468.4	s800.6	s934.1	s934.5	s934.6	s1116.4	w1274.2	w1274.7	w1204.8	s1116.2	s1024.6	s1024.4	w1116.7	w1204.5	h1600.6	h1468.5	w1116.3	h1468.2	s800.3	s800.5	s1116.7	s934.2	s1024.2	w1116.1	s1024.8	s1116.3	s1116.5	s1024.5	s800.1	s800.8	s800.4	s934.4	s800.7	s800.2	s1024.1	h1600.7	h1600.1	h1600.2	w1204.3	h1600.4	h1468.3	w1274.6	w1116.6	h1468.8	w1116.4	s1116.6	s1024.7	w1204.4	s1024.3
alpha_rarefaction_667_2.biom	667	2	22.60687	30.46203	26.0325	29.79637	25.2689	29.37266	22.08829	23.90881	34.48754	22.19138	21.68674	24.54889	26.16911	27.7576	32.63911	29.46911	19.85607	22.4538	24.58484	28.19167	26.00944	32.18872	37.2113	40.17555	27.1383	29.2594	39.91202	31.2849	24.89236	25.38545	28.6776	34.25891	26.94031	28.2832	24.59188	41.09927	22.08363	27.7048	19.75182	23.61617	24.72385	27.73219	27.97154	24.41126	26.91524	24.16478	24.06045	26.73466	22.72497	19.02647	24.2608	30.09217	22.19161	18.30999	22.1767	28.41909	24.22172	32.84013	19.97671	27.35226	28.22801	22.32926	21.6816	21.98242	18.92247	21.24941	21.38341	17.90373	24.12748
alpha_rarefaction_667_3.biom	667	3	21.66189	27.69621	27.22596	27.76536	25.68268	28.32571	21.38516	26.73924	36.96233	24.10169	22.43554	24.2915	26.86754	26.64578	32.99632	27.40493	20.7725	23.79939	25.01233	28.53161	23.39759	31.48425	39.58973	38.76453	26.92881	29.1892	40.36758	29.59324	24.28958	26.59918	32.522	31.40874	28.25657	28.91894	23.28703	42.09484	21.44698	26.90651	17.6956	25.19571	24.20076	26.62272	30.63743	26.14248	23.39769	24.7259	23.7474	24.25223	24.69704	19.17813	24.5603	29.22165	24.48988	18.83987	24.73002	28.96787	24.6429	35.67626	22.13351	27.66081	29.43189	21.86743	19.88522	24.233	21.78922	20.9906	21.34798	18.33751	24.53092
alpha_rarefaction_667_4.biom	667	4	21.689	30.14329	28.99819	30.4915	28.55294	30.75754	19.99235	26.74792	34.80436	22.14518	21.70293	23.06205	27.65495	26.64948	34.97542	29.14385	19.49237	20.53458	24.81589	28.59362	24.34291	35.7077	34.81534	38.98726	28.97637	27.98932	37.99917	29.90069	25.5512	24.94171	32.79815	34.46659	28.03505	28.88188	26.27426	39.00238	22.40569	23.69439	21.33567	23.302	23.7479	27.09804	33.73305	23.79927	24.81239	25.3402	24.52594	26.95576	22.75683	20.86444	24.92962	29.86248	23.42506	18.79962	24.30138	29.65047	23.9665	35.81104	18.57475	27.57644	27.06323	22.80562	19.93443	26.79415	21.609	22.32135	20.13743	18.72301	22.46667
alpha_rarefaction_667_5.biom	667	5	21.34734	29.66907	25.67563	28.42844	25.81901	29.59327	21.55746	26.3766	36.11736	20.7476	23.07461	23.62865	27.05376	25.52064	32.24696	28.00416	20.47126	23.51065	24.64641	28.57388	24.55527	33.58479	33.8621	37.04832	28.39994	28.69849	41.70999	30.17389	27.23324	26.91057	31.61008	31.05415	26.28822	28.16999	23.59003	40.88289	23.57646	27.74896	18.61339	22.74933	27.00231	28.95195	30.24142	21.45299	24.14181	26.85673	25.5033	24.30182	23.36011	21.04552	22.64515	27.85132	25.90834	18.0087	23.28324	27.43623	26.97841	32.91104	22.03476	26.87777	27.97855	20.86756	22.46124	25.59629	22.8145	21.12109	20.74987	21.47669	23.36182
alpha_rarefaction_667_6.biom	667	6	22.52574	30.05304	25.86828	28.21245	28.83416	29.06968	20.42949	26.56228	34.2895	22.70653	22.70934	23.83401	26.20805	26.82454	33.79836	28.65863	20.58512	23.46943	25.76978	29.08563	23.6172	34.57084	35.48142	38.21095	29.26823	29.47313	40.73587	30.89198	24.8959	25.45765	32.61073	33.10106	25.65688	29.02426	24.56382	40.30811	21.12188	26.75094	19.02536	22.30873	24.9166	25.71984	30.05445	21.95295	25.87582	26.84459	22.86483	26.12789	24.75574	20.54959	24.71253	28.28331	23.81268	17.85115	22.138	27.75036	23.82234	34.20482	22.30832	26.8949	27.69819	22.41266	22.06258	26.6401	21.62379	22.38485	19.65252	19.76759	24.65967
alpha_rarefaction_667_7.biom	667	7	23.0127	27.42381	26.93986	28.28404	27.35976	30.531	22.55134	26.0813	35.0039	22.29112	23.60004	23.21651	25.81812	26.3877	34.39278	28.14465	20.90505	20.5158	26.49168	29.55332	23.28768	32.14469	35.93536	36.72466	30.06723	29.69213	42.90492	31.43252	25.90019	23.64452	29.38718	32.47203	26.74088	30.2189	24.86507	40.69945	22.68146	27.56164	19.47805	23.54397	23.69782	25.08261	30.40422	22.61289	26.60366	24.41611	23.83564	25.40387	22.07717	20.74409	23.05415	28.11282	25.54158	19.28379	23.4114	27.80645	24.98721	32.41987	21.75971	27.28488	24.94857	23.42123	21.80283	23.80401	23.58846	20.88433	20.2204	20.71152	24.77343
alpha_rarefaction_667_8.biom	667	8	19.5901	27.06248	25.19898	28.01874	27.78201	28.20403	22.33668	24.91342	34.3342	21.00926	22.11133	23.43503	27.11399	25.20125	34.43362	28.43757	21.11074	23.81517	25.48575	26.8465	25.16872	31.51024	35.20131	38.5451	27.56756	29.52987	39.87003	31.12488	25.68013	26.50325	32.24592	35.07169	27.37823	26.93304	23.99775	39.80003	21.9056	24.95899	19.1582	23.90292	25.11664	27.60642	32.4591	23.26241	25.48861	24.95098	20.94265	24.06334	22.8531	21.34982	23.7032	28.21907	26.23344	19.16612	22.64264	29.56758	24.95166	35.88465	20.47166	27.65676	27.80894	23.8357	20.468	26.12207	22.14927	21.3079	20.04673	19.78604	24.05797
alpha_rarefaction_667_9.biom	667	9	22.12925	31.34367	26.53082	29.40018	26.92702	30.46182	23.66847	24.66796	34.74567	21.74187	23.68636	21.9395	27.26898	27.47881	34.46389	29.172	21.24794	22.04406	26.08329	27.92241	22.36802	34.42367	36.58247	36.71537	31.24207	28.85111	40.30469	31.75684	24.55704	26.56946	30.60479	32.5891	29.78617	28.01019	26.2139	41.2392	22.45587	26.45455	20.64809	26.5704	22.62593	28.71649	30.57209	22.91537	25.90567	28.60399	24.16979	24.39864	23.22182	17.55101	24.60464	26.30224	23.52274	20.89901	23.61908	27.17203	24.15193	35.01481	21.4088	26.07563	25.61557	22.25188	20.83163	25.16095	23.94737	22.52786	20.41678	20.44292	23.8675
alpha_rarefaction_886_0.biom	886	0	25.94068	30.80799	28.62245	31.14315	30.93357	35.32171	25.09547	30.06774	42.34425	23.19578	26.96896	28.26053	31.56025	30.25673	38.64504	32.92128	23.98721	25.50759	29.32947	33.82615	28.46398	38.2041	40.62408	44.97477	35.38397	33.25466	46.24666	36.18693	29.2406	29.85258	37.21282	34.86944	29.80624	32.6315	28.68818	44.88528	24.80863	28.96734	22.43141	29.52999	28.62808	29.28184	35.2968	27.74691	28.28075	32.66478	26.49747	28.87581	28.77062	23.80941	26.87892	33.7021	28.51673	22.31683	25.23032	32.95778	27.52431	39.11087	23.45129	31.72815	32.83862	25.80732	23.45164	29.91782	26.02311	23.59641	23.18122	24.38089	27.74172
alpha_rarefaction_886_1.biom	886	1	23.61495	32.05691	29.57907	32.30017	31.42551	35.19798	26.15445	29.38547	41.54567	25.84772	25.3356	25.40831	31.41758	29.58255	35.92725	31.83297	23.66361	26.323	29.18626	33.27016	26.30024	37.35442	42.59328	44.30682	30.92898	34.35131	45.70646	35.53943	29.39383	29.43328	35.85399	37.91645	30.9157	31.7408	27.92849	47.10513	24.8731	31.35412	20.11608	26.32024	31.49578	31.54043	36.14437	27.15164	28.43138	28.56038	25.41323	29.34023	29.80942	22.8189	24.63947	31.27658	29.5204	20.48123	26.4599	32.93666	27.3367	39.34177	24.49056	31.04594	32.49608	26.09072	24.18471	28.89383	24.81918	26.663	22.59368	21.91622	29.26807
alpha_rarefaction_886_2.biom	886	2	22.70512	33.48423	30.28279	32.66044	31.93694	34.58285	26.65607	27.70454	38.40209	24.36049	25.68975	27.07902	29.75251	30.2575	37.53147	32.382	23.37768	23.90615	27.04151	31.29151	27.26299	36.8088	40.18033	44.166	32.94866	35.31285	46.39897	36.9559	30.11874	31.25084	34.67011	37.82472	30.57577	33.37245	27.57277	45.55505	25.81022	31.83386	19.65592	26.44052	27.69032	31.12741	35.59044	27.49147	30.32263	30.26289	27.33351	29.84413	27.78157	24.2549	27.74246	29.79449	26.89721	21.98169	26.25451	32.52838	28.30394	38.86838	23.13855	30.49361	31.84424	26.92817	24.58185	29.17742	24.1111	24.78686	22.87742	20.85205	28.87344
alpha_rarefaction_886_3.biom	886	3	26.47962	35.23166	28.806	30.04746	31.67809	34.27935	26.33483	29.78497	40.53095	23.63649	25.52026	26.00893	31.34403	30.51608	37.84071	33.03524	23.90006	26.97044	27.39961	32.93042	28.4962	36.29774	41.06496	43.1674	32.46147	31.78236	46.08048	35.89585	28.56634	29.12938	33.41665	36.88712	30.58242	32.22056	27.7208	44.8194	23.10643	29.24972	22.03788	27.80173	27.29627	30.34349	36.30188	27.70865	30.02078	29.22703	27.22999	27.0539	25.79385	23.76509	26.66705	30.5657	26.65585	20.70696	25.11063	31.79481	26.95156	39.83816	24.3698	30.52971	31.17708	25.77186	21.30093	28.15329	24.9228	26.27794	26.3819	24.03569	26.89237
alpha_rarefaction_886_4.biom	886	4	25.74774	33.38807	28.61807	33.72276	31.62341	35.09194	26.18099	28.03725	37.45532	23.63854	25.55075	26.15832	31.1747	29.46873	38.27933	31.70036	24.52684	24.6643	27.93543	33.04612	26.96777	34.30954	40.48098	42.94073	32.8849	32.78175	44.18646	33.45034	25.67519	30.0057	35.12829	39.34599	29.98858	34.57444	28.70401	48.82003	24.07771	27.87404	21.1211	27.52462	31.13421	32.38074	35.9288	27.74177	30.39803	31.13707	27.43557	28.84727	26.37894	23.87121	28.74412	31.32287	29.479	21.03956	26.43162	30.5306	27.40516	38.30496	23.79652	29.52863	30.41312	24.49612	22.43336	27.81932	23.74085	24.07506	22.25876	23.31177	28.42164
alpha_rarefaction_886_5.biom	886	5	24.42971	33.71105	32.06177	31.52041	33.66168	34.78086	24.89052	28.48299	40.17096	25.28981	28.56012	27.09392	30.55789	31.07884	39.16063	33.41384	23.11164	25.09102	27.58366	33.01339	28.38689	36.35491	43.03756	43.93023	33.77867	35.78323	48.08561	37.01095	27.38168	30.81195	34.25726	37.07858	33.5459	33.42585	27.79841	46.9325	26.17233	28.51123	23.43848	27.39084	29.99693	31.0483	35.27529	26.07374	28.96541	28.61916	26.50714	28.14876	27.58883	22.18212	28.22115	32.34777	29.32904	20.68784	27.4306	30.14455	26.65658	37.85408	23.6231	31.92807	31.70965	25.34464	21.93717	29.18012	23.141	23.04328	21.43878	24.06132	28.98085
alpha_rarefaction_886_6.biom	886	6	24.76287	33.11441	30.03093	33.00628	33.39051	35.40422	24.8536	28.21828	39.69337	23.67509	24.44687	27.54079	31.0954	29.80289	38.69071	32.30933	21.50971	24.55434	27.57619	34.326	26.12972	37.62012	43.34134	43.11868	32.21423	34.11757	46.54954	34.70163	28.5045	29.64648	35.68158	39.1168	32.5257	33.15078	27.8408	46.28359	25.74754	32.01545	24.77006	26.3664	28.10944	30.55262	34.9357	26.36866	27.24457	28.61131	26.3228	27.56787	27.85516	24.07676	26.7861	31.53233	28.0237	19.22494	26.51681	31.33223	26.36277	38.37177	23.47303	31.2387	31.79543	26.56967	23.8464	28.63536	23.98579	25.10218	23.17067	23.73418	27.75233
alpha_rarefaction_886_7.biom	886	7	24.47825	33.29111	30.85455	31.14965	29.74135	36.92407	27.18429	26.94019	41.24396	25.48388	28.85659	26.04369	32.50516	29.77494	38.26241	33.3139	25.36229	26.37236	29.18937	33.03637	27.67512	37.49273	40.42062	45.4858	34.95088	32.18043	45.07061	36.31023	27.8939	28.9168	34.22601	39.44841	30.54836	32.50295	27.62814	44.7876	25.94034	30.16334	22.14019	27.09168	25.89749	30.49185	35.02264	26.36579	30.35714	29.80884	27.20949	27.45069	27.35305	22.4598	26.002	34.24656	27.58585	21.5744	25.96847	32.04383	28.12422	37.68445	23.64258	30.38937	31.76734	27.04335	24.91511	28.06296	26.06127	23.91572	22.37642	20.2624	27.45131
alpha_rarefaction_886_8.biom	886	8	24.25147	34.22385	30.15302	32.61809	33.01805	34.15566	24.88878	31.78998	37.97611	23.28323	24.80526	25.28693	30.69538	29.40351	37.38095	33.26147	24.55928	24.05288	30.14675	32.61608	27.72026	36.8246	42.74186	43.42283	32.04397	33.37511	44.85265	36.86804	27.95279	30.72578	34.66099	38.87387	31.62254	32.88378	28.90106	47.05691	23.93509	28.85916	20.48299	26.19762	27.94269	30.99176	36.69562	26.86111	29.06681	31.83318	25.59431	27.55425	27.02646	21.92589	27.68499	29.72943	28.99179	22.05987	24.88492	31.7214	28.177	36.3566	23.81225	29.97547	31.03158	28.00088	24.66149	31.59817	24.92585	25.05038	25.1498	22.58542	25.47186
alpha_rarefaction_886_9.biom	886	9	22.89779	34.40074	29.23652	33.05565	30.19889	33.89479	25.02758	29.00758	37.31296	24.35934	23.36343	27.88038	28.07754	30.30532	38.30618	33.24217	19.06894	25.02683	27.81298	32.55919	29.39313	38.67326	40.6515	45.52154	32.42674	31.13242	45.82539	38.19393	28.79718	28.66583	34.85697	37.62178	31.48738	32.96342	29.0976	44.85369	25.34799	29.08146	23.97094	26.59692	30.35624	31.3019	36.06235	27.35293	30.01339	26.43168	26.88188	27.97159	26.03126	22.71548	25.5531	32.79067	29.24954	23.04748	27.29811	33.9059	27.4446	37.06901	22.8063	31.12294	31.2146	26.88359	23.46828	27.8309	25.97783	24.60141	19.91364	22.80908	28.98764
alpha_rarefaction_1105_0.biom	1105	0	29.23538	37.85281	31.72384	36.07668	34.74829	38.90305	26.45733	32.56074	43.52224	25.86299	29.31436	28.67053	32.66827	33.51094	43.10773	37.67318	25.75958	28.4801	31.1692	37.52819	29.74899	40.26156	47.65065	50.42225	37.26198	36.87427	51.17317	39.79478	32.06889	32.7377	37.88485	40.52517	33.23413	36.71589	31.53053	51.52722	25.46351	34.95652	25.28957	31.19088	31.13421	34.35958	40.1879	29.00833	33.73781	31.76032	29.72284	32.32817	30.35297	24.59816	28.60771	37.62403	30.65289	23.69676	29.64431	34.69153	30.51069	42.78739	27.44225	34.58567	36.06711	31.17034	26.90676	32.59379	27.63549	27.44283	25.95313	25.36176	31.07622
alpha_rarefaction_1105_1.biom	1105	1	25.38424	36.26693	33.08605	35.7499	34.31924	37.10512	28.09473	32.76129	42.65199	26.91234	29.9031	28.45517	32.30813	32.58621	43.14007	37.08007	24.96732	28.49246	31.64675	36.01462	27.90398	41.29506	43.39185	49.02371	36.39155	39.83774	49.52378	37.85525	30.73456	33.58777	38.67335	40.61873	32.78308	35.74857	31.37502	49.24482	25.94868	33.86466	25.57078	28.63482	30.05443	33.69797	37.86013	29.60233	33.29424	33.3142	27.12698	30.44656	30.5282	25.52833	28.68293	34.57438	30.91614	24.57271	26.9182	35.57652	30.05251	43.00918	27.67671	33.66811	33.90899	27.81144	25.12476	31.36405	28.32425	26.92342	23.8192	25.22082	30.65214
alpha_rarefaction_1105_2.biom	1105	2	27.45219	38.47802	30.51575	36.18587	36.23842	37.81968	29.20294	33.58188	44.47128	27.35091	29.26418	29.08847	31.93692	33.29542	42.10883	36.03809	26.62289	27.66877	30.81277	37.58793	31.27599	41.17484	45.53994	47.74456	35.76516	35.27612	51.95355	40.23891	34.11543	32.94908	40.22914	40.31154	32.26902	37.31924	33.18449	50.94202	27.35946	33.25711	25.30188	32.08708	30.36116	34.54117	40.05267	25.84338	31.88206	30.92762	31.7159	32.38787	31.74044	26.31199	29.19702	36.11461	33.73914	23.74578	30.1152	34.8164	28.68692	44.58632	25.9843	33.2287	36.01842	30.32933	28.84386	31.59214	28.52358	28.71794	24.72282	24.62738	30.26432
alpha_rarefaction_1105_3.biom	1105	3	27.36253	37.47324	31.5026	34.72903	33.24144	38.48181	28.26579	32.78001	44.49622	27.52862	30.7827	29.30674	33.56252	31.96034	41.87359	36.27331	27.34903	29.37019	30.28382	36.1048	31.98619	41.97999	45.85713	48.59112	37.141	35.92799	50.22442	36.59078	30.7514	31.01039	39.2436	42.84972	33.49315	38.085	31.4877	52.04	27.61645	33.19693	24.34186	29.42088	33.40867	34.85676	42.4275	30.36423	32.21648	30.77539	28.79901	31.663	30.86885	23.0389	28.38588	37.71288	31.35731	22.75484	28.44907	35.55349	30.81741	43.34059	26.59089	32.71382	36.47967	30.20447	26.77127	31.89552	27.76505	28.13548	24.63491	25.5678	31.31904
alpha_rarefaction_1105_4.biom	1105	4	29.90292	38.21678	31.28818	35.51284	37.63491	36.2466	29.8054	32.35465	45.43364	29.23295	25.30231	30.06694	31.96226	32.51064	42.61325	36.95073	27.77758	27.78451	31.47146	37.60674	32.05689	43.78992	45.63304	48.85341	36.4763	36.58872	50.29031	38.1887	31.84412	31.42378	38.64619	43.5803	33.88922	35.50343	31.45905	50.97051	27.03234	33.73673	23.08025	28.70753	32.84884	34.55837	38.71653	29.59753	32.69755	33.03268	30.04672	33.35928	25.93162	26.19435	30.45421	36.02146	30.18238	24.52443	29.00922	34.92362	30.3243	41.4978	27.18093	33.29009	35.09281	28.22311	27.82078	32.59695	27.5092	25.83756	25.41375	26.56378	30.37031
alpha_rarefaction_1105_5.biom	1105	5	28.09605	39.60394	32.59919	37.1813	33.94518	37.68446	27.27118	32.78348	46.09286	28.76292	29.30223	28.78058	35.78117	34.20028	43.18732	34.14765	24.82241	26.30918	30.88836	35.92512	30.29246	39.97713	46.33951	49.41916	37.43826	38.72859	51.55476	40.7659	31.72777	35.4771	39.43677	40.99684	35.28605	36.94372	31.72191	53.25502	26.95713	32.55966	24.85848	28.24225	30.97688	33.36231	40.34469	29.73538	31.98632	34.42029	30.5874	33.3232	29.61827	23.76716	27.64764	37.28916	31.64575	22.71214	30.82426	32.70855	28.85237	40.48392	25.54636	34.07527	34.65384	29.68903	28.17839	31.95434	29.10323	28.792	24.34412	26.34504	31.17751
alpha_rarefaction_1105_6.biom	1105	6	26.52761	37.31089	33.36963	35.82298	33.34627	36.6868	28.38251	31.00568	44.41832	26.42715	28.75972	28.37289	32.55889	31.29235	42.15449	36.50238	24.68544	29.44181	31.24648	35.68599	32.16009	41.11927	44.51078	48.11331	36.08648	36.89899	48.36314	37.63481	29.07372	31.00359	39.11859	40.57777	34.88367	36.25139	30.30985	51.91306	25.45458	30.54795	24.75952	28.33001	30.79177	35.09697	39.7603	29.88416	33.62955	33.95453	29.50495	31.01242	29.10756	24.8454	29.87348	35.58134	32.78652	22.60343	29.94931	34.52344	29.32181	42.63416	27.64142	32.23799	34.3058	29.02722	25.32186	31.31609	25.45255	29.97673	24.88893	22.94157	32.07661
alpha_rarefaction_1105_7.biom	1105	7	26.92997	36.92612	32.16643	36.97295	34.43837	38.44901	29.3871	31.97805	41.03534	29.37441	29.14692	31.29261	34.10042	32.88816	44.08539	36.8059	24.39522	27.65181	31.21764	36.11739	31.0232	42.2862	45.01792	49.21828	34.17163	37.61363	50.28377	38.22074	31.82336	32.24754	39.33576	43.64546	35.35064	36.90379	32.46616	52.68422	25.71447	32.47306	24.35382	28.34946	34.42986	33.3734	41.27915	28.17552	31.54915	31.40124	28.26993	30.28352	28.73659	25.53912	29.23849	37.3867	30.76282	23.98058	30.13225	35.92583	30.33508	41.79285	25.48859	34.80724	35.38227	27.80894	26.74499	31.62406	26.84822	27.72454	25.473	23.86711	30.40486
alpha_rarefaction_1105_8.biom	1105	8	28.66685	39.29194	31.43428	34.953	34.31586	37.86227	30.85801	33.07811	44.50534	29.01892	29.84833	28.41703	31.2098	32.31979	39.63543	37.3577	24.20582	27.63864	29.89042	34.93593	30.96519	41.03961	46.12659	50.14675	37.14933	38.02421	49.34185	39.25934	30.64838	33.32054	39.27002	41.61293	33.77451	37.61936	30.65775	50.61116	27.06989	32.56008	24.92465	30.63155	30.83443	34.05824	40.08097	30.28832	34.04868	33.06388	28.07436	29.85925	30.65688	25.53397	30.86521	36.50262	29.78483	23.87797	28.64086	35.69733	30.67846	42.15241	27.38641	33.73207	35.06918	29.87771	27.25953	32.31809	27.50347	28.10632	24.45703	24.04237	31.51986
alpha_rarefaction_1105_9.biom	1105	9	27.0968	40.19671	33.04559	34.35269	37.79401	36.42938	26.56258	33.57216	44.85712	28.99753	29.33508	28.28414	32.53538	33.57887	41.82408	36.70842	24.808	27.93813	32.80971	35.1592	30.4484	40.88212	41.10943	49.76809	35.52559	39.01575	49.98138	39.06619	28.94389	33.41786	39.87744	39.90325	34.61205	36.27999	30.0306	55.67152	28.11721	30.69074	26.02172	29.79164	33.04013	35.60493	38.52745	30.31387	34.81945	34.84162	30.84239	30.86005	31.51934	24.68971	30.50243	33.94592	31.03408	23.65924	29.4343	35.15144	29.19216	42.9205	26.21968	33.95618	34.40286	29.32026	28.67666	29.37352	26.38123	28.21872	24.45521	24.68424	32.6334
alpha_rarefaction_1324_0.biom	1324	0	29.52002	39.40865	37.5783	39.48202	38.1887	39.23602	28.37944	35.05669	46.58017	30.0888	32.98534	30.19836	36.80738	38.32787	45.43202	40.21741	29.45114	30.43783	33.15502	38.71945	33.3955	44.87018	51.10477	54.63127	41.43252	40.42587	55.42299	42.93274	35.53916	36.78933	39.48036	46.54475	39.02553	40.06993	32.45645	55.48925	26.49978	35.81016	27.2332	32.42709	35.14859	38.15793	44.68422	32.63777	37.10016	36.12181	31.93225	37.73517	34.44074	28.02324	32.47385	39.53884	33.95101	26.1858	31.94274	38.52166	33.0462	46.73773	29.1279	36.66834	37.46831	29.58309	28.6863	35.40037	31.28876	32.6757	28.54247	27.02714	32.74275
alpha_rarefaction_1324_1.biom	1324	1	31.80498	38.55575	37.46522	39.07006	38.58217	41.53526	31.88019	34.55818	46.89292	28.57997	33.26892	34.55003	35.87005	35.54585	44.01715	39.35803	27.62358	30.19614	35.40647	39.52008	32.37744	43.16104	52.40858	53.59411	38.16968	43.0509	57.21377	42.06044	34.38517	36.36786	41.51027	45.28129	37.03083	39.07207	34.56773	56.68678	29.25545	35.06814	25.63135	33.29006	35.96331	35.38591	44.61763	35.3225	34.99651	34.68847	32.34745	35.17479	31.25854	28.07897	31.18029	38.73822	32.58342	25.58192	31.69969	37.40902	32.13598	46.40638	31.26257	35.99293	36.64291	34.06294	27.61691	33.99208	29.67423	30.76537	26.17277	26.75032	32.60917
alpha_rarefaction_1324_2.biom	1324	2	28.43482	40.97931	33.86958	39.02348	37.67542	40.80601	29.42514	35.70248	46.89743	31.4495	30.7479	32.31429	32.77268	35.48132	45.64931	38.45564	29.52092	30.20432	33.71292	38.29017	34.12919	44.25407	49.30735	52.55341	39.98523	39.8516	54.07836	41.28352	34.3486	36.30942	42.3476	44.7334	36.72823	40.38132	33.46465	57.27051	28.94332	35.12791	28.06287	33.11292	36.56941	37.74852	43.38506	29.51378	33.96156	35.87956	33.36261	33.3071	33.28512	27.04416	33.95098	39.60763	31.81378	24.64687	32.48808	40.42276	31.93735	44.5275	29.48967	36.97081	37.66914	31.6072	26.4225	34.58347	27.87512	27.66178	26.92325	26.22763	33.91471
alpha_rarefaction_1324_3.biom	1324	3	30.22634	43.74914	35.04138	38.5694	38.3649	40.3578	33.62094	35.66654	47.1268	30.82539	31.92679	31.86746	32.91128	33.36462	46.21373	38.4731	29.73773	30.76047	32.35349	38.08031	33.12347	44.642	50.33662	54.55568	38.81135	40.6881	56.4731	40.71267	34.35614	36.4667	44.55944	44.79962	36.2528	38.47865	34.50479	55.46704	28.85753	38.15392	27.90346	31.36026	34.32973	35.7427	44.45627	30.91849	33.48449	39.03089	32.70687	35.58702	34.57124	26.80941	29.82736	38.08237	33.48164	25.69931	31.59488	34.63291	32.42533	45.66682	30.10444	37.43475	37.77365	31.63919	27.33463	34.32713	29.95708	29.07543	28.92402	27.75316	33.51237
alpha_rarefaction_1324_4.biom	1324	4	30.14911	40.6144	35.57761	41.56841	39.3285	39.97929	30.20967	33.37779	48.2501	29.24764	30.85021	32.65359	35.33658	35.49395	46.39849	39.12053	29.35	31.2918	32.9731	36.96399	31.96466	45.67622	48.76881	54.67916	40.08161	42.39185	54.09628	40.85573	35.79812	35.85793	42.54995	44.71608	36.02523	41.06838	33.60656	57.571	28.59053	34.58358	27.00746	33.61617	33.23514	36.19979	42.7051	30.11813	35.82903	36.98614	30.93726	33.60651	31.01329	25.88978	32.95893	38.76391	33.53834	24.21477	30.68885	36.25985	32.00349	45.02479	29.08688	37.20239	37.74956	30.41756	30.65368	35.9783	29.00606	30.23613	25.97864	27.61574	33.69384
alpha_rarefaction_1324_5.biom	1324	5	28.48228	40.57962	34.89644	38.53652	39.43482	40.75263	33.77486	35.52898	45.52734	29.86307	33.11899	32.73456	34.97915	33.95862	47.7187	39.34503	28.05579	31.27861	32.69578	37.79433	35.75147	42.79998	48.75883	53.22343	38.89296	38.28111	54.26075	42.30562	36.66439	37.24228	41.34807	43.94948	36.89263	39.24177	35.05025	56.54183	29.82113	35.86123	27.66362	31.39801	36.30472	36.85962	42.91126	34.12352	34.47284	35.42153	35.48587	35.77316	32.08463	28.68811	29.60758	41.06772	34.6532	25.31165	32.40587	38.43244	32.33566	48.28125	29.74614	36.38174	37.81541	32.73006	30.79495	35.40798	28.42187	32.41182	27.33026	27.7831	35.13989
alpha_rarefaction_1324_6.biom	1324	6	30.17667	41.12679	36.0127	41.08628	37.51536	38.11128	30.76242	33.8535	48.79991	30.13248	31.67881	30.94871	35.11492	35.59392	46.92527	37.92124	27.99879	31.88233	32.0919	39.43804	34.36077	45.65532	49.24605	53.83768	40.73792	44.9331	54.00185	42.26537	33.23379	35.53924	40.57741	45.04464	35.96225	38.60403	34.01918	54.97958	29.37042	36.13884	25.73218	34.10712	33.95157	38.03859	43.37587	33.935	36.06975	36.70551	30.71334	34.03345	33.1562	26.06428	31.53676	38.26695	35.56247	25.57776	30.12736	36.51194	32.23056	46.31236	27.63324	36.5651	38.6567	31.41387	29.59327	35.20892	30.95028	29.36762	27.98759	28.06994	34.65314
alpha_rarefaction_1324_7.biom	1324	7	28.20068	41.99614	33.18195	39.93797	36.18449	40.22401	30.57852	29.38257	46.38122	29.5729	33.11598	33.10712	34.68895	36.85207	45.58948	40.83961	27.39062	31.62727	34.6284	37.63252	33.16456	45.54823	50.11613	52.50053	40.05885	39.48893	55.77959	42.2836	34.72363	35.79497	40.95625	46.89815	36.16395	37.39355	35.50374	58.24087	29.69347	33.53046	26.81091	32.17438	36.2575	39.67258	43.32403	33.8562	33.52172	35.97911	30.73443	36.11579	35.33018	26.74113	32.2677	38.5134	33.21086	25.29003	28.81903	36.88905	31.47758	47.86937	29.57808	37.63647	36.98052	30.07905	29.45445	33.78716	27.90507	31.82592	28.33282	26.45694	32.77432
alpha_rarefaction_1324_8.biom	1324	8	28.55433	40.36774	36.14887	41.07681	36.11142	41.16562	31.83588	34.93393	47.81669	29.07736	31.22088	32.32248	35.21216	35.94774	46.55736	38.51312	28.57543	32.08683	32.81312	38.12601	33.50872	45.91679	51.58725	51.96368	41.00265	41.86523	55.32806	41.53021	33.7089	35.07358	41.2395	46.03742	36.67819	41.61368	33.65445	56.57176	29.71478	35.96169	27.32503	31.74586	35.55916	38.50404	41.82416	31.80476	34.16546	36.08386	34.22094	34.21764	34.26811	26.72013	28.40463	40.626	35.59406	26.35633	30.11381	36.35949	32.8919	47.40438	27.69253	34.87114	37.39961	32.10612	29.07843	34.20054	29.15	31.25584	28.38359	27.84609	33.08467
