	h1468	h1600	s800	s934	s1024	s1116	w1116	w1204	w1274
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__	0.004294698	0.00276906	0.000304964	0.005721964	0.004574057	0.004012553	0.008018214	0.004476765	0.005180979
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae;Other	0.000255637	0	0	0.000138995	0	0	0	2.18E-05	0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae;g__Prochlorococcus	0	0	0	2.32E-05	0	0	2.47E-05	0	0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Synechococcaceae;g__Synechococcus	2.56E-05	0	8.71E-05	4.63E-05	0	0	7.42E-05	0.000109189	0
k__Bacteria;p__Elusimicrobia;Other;Other;Other;Other	0	4.62E-05	0	0	0	6.72E-05	0	0	2.37E-05
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__;g__	0.00076691	0.000553812	0.000283181	0.000393819	0.000846068	0.000313831	0.000321718	0.000131027	0.000473149
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__FAC88;f__;g__	0.00048571	0.001569134	0.000130699	0.000996131	0.001321982	0.001075992	0.000470204	0.000262055	0.001395789
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__IIb;f__;g__	5.11E-05	0	6.53E-05	0.000115829	2.64E-05	2.24E-05	0	0	0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__MVP-88;f__;g__	5.11E-05	0	0	0	0	0	0	0	0
k__Bacteria;p__FBP;c__;o__;f__;g__	0	0	0	0	0	0	2.47E-05	0	2.37E-05
k__Bacteria;p__FCPU426;c__;o__;f__;g__	2.56E-05	0	0	4.63E-05	0.000317276	0.000179332	4.95E-05	0.000109189	4.73E-05
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__258ds10;f__;g__	0.000204509	0	0	0	0	0	0.000346466	0	2.37E-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other;Other	0	0	8.71E-05	2.32E-05	0	0	0	0.000131027	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;Other	0	0	4.36E-05	4.63E-05	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__	0	0	0	4.63E-05	5.29E-05	2.24E-05	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0	9.23E-05	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Cohnella	0	0	0	0	0	0	0	4.37E-05	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	0	0	0	0	0	0	0	0	4.73E-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Jeotgalicoccus	0	0	0	0	5.29E-05	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Salinicoccus	0.000178946	0	0.000152482	0.000138995	0	4.48E-05	0	2.18E-05	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.000153382	0	2.18E-05	9.27E-05	0	0	0	4.37E-05	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;Other	0	0	0.000152482	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;Other	0	0	0	4.63E-05	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus	7.67E-05	0	0	0	0	2.24E-05	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia	7.67E-05	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0	0	8.71E-05	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	7.67E-05	0	4.36E-05	9.27E-05	0	2.24E-05	0	2.18E-05	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	0	0	0	2.32E-05	0	0.000156915	4.95E-05	0	2.37E-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other	0.000127818	0	0	4.63E-05	0	0	0	0	7.10E-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;Other	0	0	0	2.32E-05	0	0.000134499	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__02d06	0.000102255	9.23E-05	4.36E-05	6.95E-05	0	0.000650078	0	0	4.73E-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Caloramator	0	0	4.36E-05	0	0	0	0	0	4.73E-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53	0.000127818	9.23E-05	2.18E-05	4.63E-05	0	0.000179332	0.000123738	2.18E-05	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	0	0	0	0	0	0	0	4.37E-05	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	5.11E-05	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__	7.67E-05	0	0	0	0	0	2.47E-05	2.18E-05	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;Other	0	0	0	0.000115829	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	0	0	8.71E-05	6.95E-05	2.64E-05	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	0	0	0	6.95E-05	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Sulfobacillaceae;g__YNPFFP6	0	0	0	0	0	0	0	8.74E-05	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__Mogibacterium	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__OPB54;f__;g__	0	0	2.18E-05	2.32E-05	0	6.72E-05	0	0	0
k__Bacteria;p__GAL15;c__;o__;f__;g__	0.000460146	0.000415359	0.002875378	0.001158292	0.001586378	0.000425913	0.005147496	0.000829839	0.000898983
k__Bacteria;p__Gemmatimonadetes;Other;Other;Other;Other	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__;g__	2.56E-05	0.00092302	8.71E-05	9.27E-05	0.000132198	2.24E-05	0.000173233	4.37E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-5;o__;f__;g__	0	0	2.18E-05	0	2.64E-05	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;Other;Other;Other	0.000178946	0.000784567	0.000261398	0.000648644	0.000449474	0.000313831	0.000222728	0.000283892	0.000804353
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__;g__	0.001329311	0.001938342	0.001067375	0.001204624	0.001374861	0.000986326	0.001336369	0.000676974	0.001703336
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Ellin5290;f__;g__	0	0	0	0	0	0	0.000123738	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__KD8-87;f__;g__	0	0.000138453	0	2.32E-05	0	4.48E-05	2.47E-05	0	0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Z20;f__;g__	0	0	6.53E-05	0	0	0	0	0	0
k__Bacteria;p__NC10;c__12-24;Other;Other;Other	0	0	6.53E-05	0	0	0	0	0	0
k__Bacteria;p__NC10;c__12-24;o__JH-WHS47;f__;g__	0	0	0.000108916	6.95E-05	0	0	0	0	0
k__Bacteria;p__NKB19;c__;o__;f__;g__	0	0.000138453	0	0	0	0	0	0	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;Other;Other	0.000587965	0	6.53E-05	0.000115829	0.003146317	0.000403497	0.000890913	6.55E-05	4.73E-05
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__;g__	5.11E-05	0	8.71E-05	0	0	0	0	0	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__0319-6A21;g__	0.000178946	0.000507661	0.000174265	0.00150578	0.000158638	8.97E-05	0	0	7.10E-05
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__FW;g__4-29	2.56E-05	4.62E-05	0.001829786	0.000115829	2.64E-05	2.24E-05	0	0	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;Other	5.11E-05	0.000276906	0	0.000231658	0	2.24E-05	0	0	4.73E-05
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__JG37-AG-70	0	0	0	0.000115829	0	0	0	0	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira	2.56E-05	0.000276906	0.001023809	0.002640906	0.000105759	0.000403497	0	0	0.000212917
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__[Leptospirillaceae];g__	0	0	6.53E-05	2.32E-05	0.000132198	4.48E-05	0	0	2.37E-05
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__[Thermodesulfovibrionaceae];Other	0	0	0.00041388	0.000162161	0	0	0	0	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__[Thermodesulfovibrionaceae];g__	0.000102255	0.000276906	0	2.32E-05	0.000158638	4.48E-05	0.000123738	0	0
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__[Thermodesulfovibrionaceae];g__GOUTA19	0	0.000138453	0.002330799	0.000231658	0	0	0	0	0
k__Bacteria;p__OD1;c__SM2F11;o__;f__;g__	7.67E-05	0	0	9.27E-05	7.93E-05	0	4.95E-05	4.37E-05	0.000141945
k__Bacteria;p__OD1;c__ZB2;o__;f__;g__	0	0	0	0	0	0	0	0	4.73E-05
k__Bacteria;p__OP3;c__koll11;o__GIF10;f__kpj58rc;g__	0.000178946	4.62E-05	4.36E-05	0.000115829	0.000105759	0.000179332	0.000272223	8.74E-05	4.73E-05
k__Bacteria;p__Planctomycetes;c__BD7-11;o__;f__;g__	0	0.000138453	0	0	5.29E-05	0	0	0	0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;Other;Other	5.11E-05	0.000369208	2.18E-05	2.32E-05	0.000132198	2.24E-05	0.000247476	0.00030573	0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__;g__	2.56E-05	4.62E-05	8.71E-05	0.00027799	2.64E-05	2.24E-05	0	0	0.000331204
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__	0	0	0	0	0	0	7.42E-05	2.18E-05	0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__S-70;f__;g__	0	0	0	0	0	4.48E-05	0	0	0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101;f__;g__	0.030855361	0.001938342	0.001045592	0.001992263	0.010337899	0.002981394	0.01663037	0.014325646	0.001703336
k__Bacteria;p__Planctomycetes;c__Pla4;o__;f__;g__	0.000102255	0	4.36E-05	6.95E-05	2.64E-05	0.000179332	4.95E-05	0	9.46E-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;Other;Other	0	0	0	0	0	0	0	6.55E-05	0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;Other	5.11E-05	9.23E-05	0.000196049	9.27E-05	0.000158638	0.000224165	0	8.74E-05	7.10E-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__	0.00319546	0.004615101	0.003441741	0.002478745	0.003595791	0.003115893	0.001583845	0.002074598	0.00305181
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata	0.000664656	0.000323057	0.000217832	0.000486483	0.000132198	0.000156915	0.000247476	0.000567785	0.000686066
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Isosphaeraceae;Other	0.000536837	4.62E-05	6.53E-05	2.32E-05	2.64E-05	0.000134499	9.90E-05	8.74E-05	2.37E-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Isosphaeraceae;g__	0.002658623	0.000553812	0.002526848	0.001250956	0.001242663	0.001524322	0.001361117	0.001484976	0.000449491
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Isosphaeraceae;g__Singulisphaera	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;Other	2.56E-05	9.23E-05	0	0	0	0	0.000247476	6.55E-05	2.37E-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__	0.000357892	0.000323057	0.000326748	0.000440151	0.000581672	0.000560412	0.00091566	0.000655136	0.000307547
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__A17	0	0.000276906	0.000108916	0.000231658	2.64E-05	2.24E-05	0.000420709	8.74E-05	9.46E-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Pirellula	0	0	0	0	0	0	0	0	4.73E-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces	0.002607495	0.002030644	0.000457447	0.001111961	0.000793189	0.00127774	0.000692932	0.000502271	0.000946298
k__Bacteria;p__Planctomycetes;c__vadinHA49;o__DH61;f__;g__	7.67E-05	0	4.36E-05	0	0.000211517	0	4.95E-05	4.37E-05	4.73E-05
k__Bacteria;p__Proteobacteria;Other;Other;Other;Other	0.001993967	0.002815211	0.001611955	0.001737438	0.00145418	0.002129567	0.002029301	0.001375786	0.001537734
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other;Other;Other	0.005802955	0.005122762	0.003528874	0.00685709	0.005684522	0.005559292	0.007696496	0.005393955	0.005393896
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__	0.000664656	0.001799889	0.000392097	0.000996131	0.000555232	0.000134499	0.001286874	0.000436758	0.001443104
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;f__;g__	7.67E-05	0.000184604	0	0.000185327	2.64E-05	8.97E-05	0.000395961	2.18E-05	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__;g__	0	0	0	0	0	0	2.47E-05	2.18E-05	2.37E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;Other	0.000945856	0.000553812	0.000304964	0.001552112	0.000423034	0.000874243	0.001385864	0.001506813	0.001088242
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__	0.002888696	0.001430681	0.000435663	0.001366785	0.001004706	0.001770903	0.002227282	0.002096436	0.001206529
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Arthrospira	0	0	0	0	5.29E-05	0	0	4.37E-05	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis	2.56E-05	0	0	4.63E-05	2.64E-05	0	2.47E-05	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	2.56E-05	0.000230755	0	9.27E-05	0	4.48E-05	7.42E-05	0	0.00018926
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329;f__;g__	0.003630042	0.003876685	0.002243667	0.003428545	0.004256782	0.005805873	0.007622253	0.007228337	0.00305181
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;Other;Other	0.013651005	0.02293705	0.013461999	0.018718002	0.011263286	0.015960547	0.016754108	0.018059923	0.022285309
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__	0	0	0	0	0	0	4.95E-05	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;Other	0.0002812	0.000276906	0.000370314	0.000254824	0.000423034	0.000112082	0.002425262	0.001113732	0.000141945
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__	0.000255637	0.006230386	0.001916919	0.000787639	0.000819629	0.001972652	0.000890913	0.000698812	0.001348474
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Beijerinckia	0	0	0	0	2.64E-05	0	0.000222728	0.000109189	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella	0.000127818	0	0	4.63E-05	7.93E-05	0	0.000148485	0.000152865	0.000141945
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;Other	0.001712767	0.004430497	0.001241641	0.004679501	0.000793189	0.001255324	0.001262126	0.000502271	0.002413059
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__	0.0002812	0.000369208	8.71E-05	9.27E-05	0	0.000112082	9.90E-05	8.74E-05	0.000425834
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Afipia	0	0	0	0	0	6.72E-05	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium	0.019760724	0.047304781	0.011741129	0.030926402	0.006742108	0.014503475	0.008587408	0.00668239	0.034161344
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;Other	0.000715783	0.001707587	0.000217832	0.000857136	0.000449474	0.000470746	0.000791922	0.000109189	0.000496806
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__	0.005240554	0.009922466	0.00577254	0.006416939	0.006133996	0.005223044	0.001583845	0.001157407	0.004281997
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia	0.000127818	0	0	0	0	0	0.000965155	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium	7.67E-05	0.003138268	0.000196049	0.000440151	2.64E-05	0.000179332	0.000841418	0	4.73E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Pedomicrobium	0.000434583	0.002815211	0.001328773	0.002849399	0.002458886	0.002039901	0.00071768	4.37E-05	0.001253844
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes	0.121810931	0.1857578	0.195286122	0.165821113	0.227830363	0.194776956	0.181251237	0.156686758	0.205583156
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;Other	0.000204509	4.62E-05	0.00047923	0.000486483	0.000343715	0.000268998	0.000395961	0.000196541	0.000236574
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__	0.031136561	0.015183681	0.008560786	0.019945792	0.011950717	0.013203318	0.030043556	0.040138015	0.018239886
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__Methylosinus	0.000460146	0.000553812	8.71E-05	0.000162161	0.000105759	0.000156915	0	0	0.000260232
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;Other	0	4.62E-05	0	0	0	0	0.000569194	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Aminobacter	0	0	0	0	0	0	7.42E-05	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium	0	0.001292228	0.000174265	0.000162161	0	0	0	0	0.000354862
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;Other	2.56E-05	0.000276906	0	6.95E-05	0	2.24E-05	0	0	0.00018926
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Labrys	2.56E-05	0.002122946	0	0.000463317	2.64E-05	8.97E-05	0	0	0.000544121
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__	0	4.62E-05	4.36E-05	0	0	0	0	0	9.46E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;Other;Other	0.000153382	9.23E-05	0.000196049	0.001111961	0.000132198	0.000179332	0.000420709	0.000633298	0.00018926
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;Other	0.002454113	0.000784567	0.000849544	0.001992263	0.000660991	0.000717328	0.003068699	0.002948113	0.001135557
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__	0.029653868	0.016937419	0.007362712	0.014015336	0.007879012	0.008226855	0.024054643	0.031599406	0.016347291
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidisoma	5.11E-05	0	0	0	0	0	7.42E-05	0.000174703	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidocella	0.000587965	0.000646114	0.000261398	0.000996131	0.000555232	0.000336247	0.002722233	0.002292977	0.000307547
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;Other	0.001124802	0.000599963	0.00137234	0.002131258	0.001533499	0.001995068	0.002425262	0.001244759	0.000993612
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__	0.049440155	0.067795828	0.135447753	0.116292538	0.104595209	0.146379735	0.087581667	0.095715409	0.079867518
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum	0	0	0	0	0	0	0.000247476	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Telmatospirillum	0.000102255	4.62E-05	0.000304964	0.000254824	0.000105759	0.000201748	0.000494951	0.000458595	0.000141945
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;Other;Other	0	0	0	0	7.93E-05	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__	0.0002812	0.000230755	0.000174265	0.000185327	7.93E-05	0.000336247	0.000371214	0.000131027	0.000165602
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Pelagibacteraceae;g__	0.000587965	0.000599963	0.000108916	0.000440151	0	0.000246581	4.95E-05	0.00030573	7.10E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;Other	0	0	0	0	0	0	0	0	9.46E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__	0	0	0	0	0	0.000224165	2.47E-05	4.37E-05	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Wolbachia	0	0	0	0	7.93E-05	2.24E-05	0	0.000131027	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;Other;Other	0	0	0	0	0	0	2.47E-05	0	2.37E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;Other	0	0	2.18E-05	4.63E-05	0	0.000134499	0.000148485	8.74E-05	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium	7.67E-05	0	2.18E-05	4.63E-05	0	0	0	6.55E-05	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other;Other;Other	0.003630042	0.014076057	0.002984294	0.007366738	0.006715668	0.00582829	0.002375767	0.000524109	0.003122782
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__	0.000792474	0.005215064	0.001611955	0.000764473	0.000290836	0.000134499	0.000222728	8.74E-05	0.000496806
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__A21b;f__EB1003;g__	0.001073675	0.001522983	0.001503039	0.00150578	0.000793189	0.000605245	0.000296971	0.000196541	0.000402176
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__A21b;f__UD5;g__	0	0	0.000108916	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;Other;Other	0.001687203	0.001015322	8.71E-05	0.000880302	0.00074031	0.000358664	0.000123738	0	0.000378519
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;Other	7.67E-05	0.000692265	0.000152482	0.000347488	7.93E-05	0	0.000272223	0.000196541	0.000425834
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__	5.11E-05	4.62E-05	2.18E-05	4.63E-05	2.64E-05	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	0.000204509	0.000738416	0.000283181	0.001528946	0.000132198	0	0.000321718	0.000262055	0.000402176
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Salinispora	0	0	0	0.000162161	0.000158638	0.000246581	0.000420709	0.000262055	2.37E-05
