	h1468	h1600	s800	s934	s1024	s1116	w1116	w1204	w1274
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__	0.000332328	4.62E-05	0.000108916	0.000162161	0.000370155	0.000560412	0.000395961	0.000371244	7.10E-05
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter	0.005010481	0.005815027	0.004204152	0.007853221	0.00512929	0.007016364	0.004330826	0.003887142	0.005583156
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__	5.11E-05	0.00046151	0	0.000138995	0.000317276	4.48E-05	4.95E-05	0	0.00018926
k__Bacteria;p__Acidobacteria;c__TM1;o__;f__;g__	0.005547318	0.00276906	0.016206679	0.006602266	0.008963037	0.006254203	0.005568204	0.010613208	0.00674237
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24;f__;g__	2.56E-05	0.000138453	0.000283181	0.000370654	0.000449474	2.24E-05	0.000197981	0	4.73E-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__Ellin7246;f__;g__	0	0	0	0	0	0	0	0	9.46E-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__	0	9.23E-05	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__	5.11E-05	4.62E-05	0.000435663	0.000347488	2.64E-05	8.97E-05	0	0	2.37E-05
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__	0	4.62E-05	0	4.63E-05	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36;f__;g__	0	0	8.71E-05	6.95E-05	0	0	0	0	0
k__Bacteria;p__Actinobacteria;Other;Other;Other;Other	0.000102255	4.62E-05	0	0.000115829	0	8.97E-05	9.90E-05	8.74E-05	4.73E-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;Other;Other	0.000332328	0.000138453	0	6.95E-05	0	0.000156915	0.000296971	0.000218379	0.000118287
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	0.005087172	0.002676758	0.000675278	0.00122779	0.001639258	0.002398565	0.002623243	0.003734277	0.001656021
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__	0.000460146	0.001753738	0.000261398	0.000393819	0.000343715	0.000112082	0.000173233	0	0.000969955
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other;Other	0.009739762	0.005122762	0.004421984	0.009289504	0.007032944	0.006814616	0.010492972	0.01161775	0.009557606
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__	0.011145764	0.008445634	0.00845187	0.012671717	0.01099889	0.018067698	0.011779846	0.01716457	0.011970665
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__	0	0	2.18E-05	0	0	0	2.47E-05	0.000109189	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinospicaceae;g__	0	0	2.18E-05	0.005374476	0	0.000156915	0.000272223	0.000152865	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;Other	0	0	0	0	0	0	0	0	4.73E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	0	0	0	0	0	0	0	6.55E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0.000204509	0	0.000217832	0.00027799	5.29E-05	2.24E-05	0	4.37E-05	0
